TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-11-30 01:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 02:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 03:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 04:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 05:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 06:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 07:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 08:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 09:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 10:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 11:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 12:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 13:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 14:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 15:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 16:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 17:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 18:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 19:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 20:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 21:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 22:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-11-30 23:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,November,Post-Monsoon,Diwali Festival Season,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 00:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 01:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 02:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 03:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 04:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 05:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 06:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 07:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 08:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 09:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 10:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 11:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 12:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 13:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 14:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 15:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 16:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 17:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 18:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 19:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 20:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 21:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 22:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-01 23:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 00:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 01:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 02:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 03:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 04:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 05:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 06:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 07:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 08:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 09:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 10:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 11:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 12:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 13:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 14:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 15:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 16:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 17:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 18:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 19:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 20:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 21:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 22:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-02 23:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 00:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 01:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 02:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 03:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 04:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 05:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 06:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 07:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 08:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 09:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 10:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 11:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 12:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 13:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 14:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 15:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 16:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 17:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 18:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 19:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 20:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 21:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 22:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-03 23:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 00:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 01:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 02:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 03:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 04:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 05:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 06:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 07:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 08:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 09:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 10:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 11:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 12:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 13:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 14:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 15:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 16:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 17:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 18:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 19:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 20:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 21:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 22:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-04 23:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-05 00:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-05 01:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-05 02:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-05 03:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-05 04:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
2024-12-05 05:00:00,10.67,65.82,14.78,9.88,53.83,2.26,5.01,December,Winter,Christmas & New Year,103.00506329113924,Moderate,Raichur,Karnataka,16.0547194,76.9003647
